iter	Passed	Remaining
0	9	9811
1	13	6646
2	15	5132
3	17	4297
4	19	3787
5	20	3416
6	22	3163
7	24	2978
8	25	2787
9	26	2664
10	28	2562
11	30	2485
12	31	2417
13	33	2348
14	35	2303
15	36	2265
16	38	2224
17	40	2186
18	41	2153
19	43	2127
20	45	2111
21	46	2087
22	48	2065
23	50	2049
24	52	2029
25	53	2014
26	55	1993
27	57	1997
28	59	1997
29	61	1984
30	63	1975
31	64	1964
32	66	1951
33	68	1946
34	70	1939
35	72	1938
36	74	1935
37	76	1930
38	78	1922
39	79	1917
40	81	1909
41	83	1904
42	85	1898
43	87	1893
44	89	1891
45	91	1887
46	92	1877
47	94	1868
48	96	1866
49	97	1859
50	99	1851
51	101	1843
52	102	1838
53	104	1830
54	106	1831
55	108	1830
56	110	1826
57	112	1821
58	114	1820
59	116	1821
60	118	1827
61	120	1829
62	122	1827
63	125	1831
64	127	1828
65	129	1827
66	130	1821
67	132	1817
68	134	1817
69	136	1814
70	138	1810
71	140	1807
72	142	1805
73	143	1799
74	145	1793
75	147	1790
76	149	1787
77	150	1784
78	152	1779
79	154	1777
80	156	1774
81	158	1769
82	159	1765
83	161	1766
84	163	1762
85	165	1756
86	167	1754
87	168	1751
88	170	1746
89	172	1741
90	173	1737
91	175	1731
92	177	1726
93	178	1721
94	180	1719
95	182	1718
96	184	1715
97	186	1712
98	188	1712
99	189	1709
100	191	1704
101	193	1700
102	195	1699
103	197	1698
104	199	1697
105	200	1694
106	202	1691
107	204	1689
108	206	1689
109	208	1688
110	210	1684
111	212	1681
112	214	1681
113	215	1677
114	217	1676
115	219	1675
116	221	1672
117	223	1669
118	225	1667
119	226	1664
120	228	1660
121	230	1656
122	231	1652
123	233	1650
124	235	1647
125	236	1643
126	239	1643
127	240	1641
128	242	1637
129	244	1634
130	246	1631
131	247	1628
132	249	1625
133	251	1622
134	252	1620
135	254	1618
136	256	1614
137	258	1612
138	260	1612
139	261	1607
140	263	1604
141	264	1601
142	266	1598
143	268	1596
144	270	1593
145	272	1591
146	273	1589
147	275	1586
148	277	1585
149	279	1584
150	281	1582
151	283	1580
152	285	1582
153	287	1580
154	289	1579
155	292	1580
156	293	1578
157	295	1575
158	297	1573
159	299	1571
160	301	1570
161	303	1569
162	305	1567
163	307	1565
164	308	1563
165	311	1563
166	312	1560
167	314	1558
168	316	1556
169	318	1556
170	320	1555
171	322	1553
172	324	1551
173	326	1548
174	328	1546
175	330	1545
176	331	1543
177	333	1540
178	335	1539
179	337	1537
180	339	1535
181	341	1533
182	343	1532
183	345	1531
184	347	1528
185	348	1526
186	350	1523
187	352	1521
188	354	1520
189	356	1519
190	358	1516
191	359	1513
192	361	1511
193	363	1510
194	365	1507
195	367	1505
196	368	1503
197	370	1501
198	372	1499
199	374	1497
200	376	1494
201	377	1492
202	379	1490
203	381	1489
204	383	1488
205	386	1489
206	388	1488
207	390	1486
208	394	1492
209	396	1490
210	398	1488
211	399	1486
212	401	1485
213	404	1484
214	406	1482
215	407	1480
216	410	1479
217	411	1476
218	413	1475
219	415	1473
220	417	1471
221	419	1470
222	421	1468
223	423	1466
224	425	1464
225	427	1462
226	428	1460
227	430	1457
228	432	1455
229	434	1453
230	435	1451
231	437	1448
232	439	1446
233	441	1444
234	443	1442
235	445	1441
236	447	1439
237	449	1439
238	451	1437
239	453	1436
240	455	1434
241	457	1432
242	459	1430
243	460	1428
244	462	1426
245	464	1424
246	466	1422
247	468	1420
248	470	1418
249	472	1416
250	473	1414
251	475	1412
252	477	1409
253	479	1409
254	481	1407
255	483	1405
256	485	1404
257	487	1401
258	489	1399
259	491	1398
260	493	1396
261	495	1394
262	497	1392
263	498	1390
264	500	1388
265	502	1386
266	504	1385
267	506	1383
268	508	1381
269	510	1380
270	512	1378
271	514	1376
272	516	1374
273	518	1373
274	520	1372
275	522	1370
276	524	1368
277	526	1366
278	527	1363
279	529	1361
280	531	1359
281	533	1357
282	534	1355
283	536	1353
284	538	1351
285	540	1349
286	542	1347
287	544	1345
288	546	1344
289	548	1342
290	550	1341
291	552	1339
292	554	1337
293	556	1336
294	558	1334
295	560	1332
296	561	1330
297	564	1330
298	566	1328
299	568	1326
300	570	1325
301	572	1322
302	573	1320
303	576	1319
304	577	1316
305	579	1314
306	581	1313
307	583	1311
308	585	1309
309	587	1308
310	590	1307
311	592	1307
312	595	1306
313	597	1304
314	599	1302
315	601	1301
316	602	1299
317	604	1297
318	606	1295
319	608	1293
320	610	1291
321	612	1290
322	615	1289
323	616	1286
324	618	1285
325	621	1284
326	623	1282
327	625	1281
328	627	1279
329	629	1278
330	631	1276
331	635	1277
332	636	1275
333	639	1274
334	641	1272
335	643	1270
336	645	1269
337	647	1267
338	649	1265
339	650	1263
340	652	1261
341	654	1259
342	656	1257
343	658	1255
344	660	1253
345	661	1251
346	663	1248
347	665	1246
348	667	1244
349	668	1242
350	670	1240
351	672	1238
352	674	1236
353	676	1233
354	677	1231
355	679	1229
356	681	1227
357	683	1225
358	685	1223
359	687	1222
360	689	1219
361	691	1218
362	693	1216
363	695	1215
364	697	1213
365	699	1211
366	700	1208
367	702	1206
368	704	1205
369	706	1203
370	708	1201
371	710	1199
372	712	1197
373	714	1195
374	716	1193
375	718	1191
376	720	1189
377	721	1187
378	723	1185
379	725	1183
380	727	1181
381	729	1180
382	731	1178
383	733	1176
384	735	1174
385	737	1172
386	738	1170
387	740	1168
388	742	1166
389	744	1164
390	746	1162
391	747	1159
392	749	1157
393	751	1155
394	753	1153
395	755	1152
396	757	1150
